antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'60 CAKE CASES DOLLY GIRL DESIGN'}),frozenset({'PACK OF 60 PINK PAISLEY CAKE CASES'}),0.02050728548300054,0.03669724770642202,0.011332973556395036,0.5526315789473685,15.05921052631579,0.010580412621239052,2.153264975715057,0.9531418076872622
frozenset({'PACK OF 60 PINK PAISLEY CAKE CASES'}),frozenset({'60 CAKE CASES DOLLY GIRL DESIGN'}),0.03669724770642202,0.02050728548300054,0.011332973556395036,0.3088235294117647,15.059210526315791,0.010580412621239052,1.4171383954714036,0.9691609977324263
frozenset({'60 CAKE CASES DOLLY GIRL DESIGN'}),frozenset({'PACK OF 60 SPACEBOY CAKE CASES'}),0.02050728548300054,0.023205612520237454,0.010793308148947653,0.5263157894736842,22.68053855569155,0.010317424028187252,2.0621214846794986,0.975922865013774
frozenset({'PACK OF 60 SPACEBOY CAKE CASES'}),frozenset({'60 CAKE CASES DOLLY GIRL DESIGN'}),0.023205612520237454,0.02050728548300054,0.010793308148947653,0.46511627906976744,22.680538555691555,0.010317424028187252,1.8312255097491728,0.9786187845303866
frozenset({'60 CAKE CASES VINTAGE CHRISTMAS'}),frozenset({'SET OF 20 VINTAGE CHRISTMAS NAPKINS'}),0.025903939557474366,0.027522935779816515,0.010793308148947653,0.4166666666666667,15.13888888888889,0.010080355684063036,1.6671035386631718,0.958781163434903
frozenset({'SET OF 20 VINTAGE CHRISTMAS NAPKINS'}),frozenset({'60 CAKE CASES VINTAGE CHRISTMAS'}),0.027522935779816515,0.025903939557474366,0.010793308148947653,0.39215686274509803,15.13888888888889,0.010080355684063036,1.6025451316957677,0.960377358490566
frozenset({'60 TEATIME FAIRY CAKE CASES'}),frozenset({'72 SWEETHEART FAIRY CAKE CASES'}),0.03076092822450081,0.028602266594711278,0.011332973556395036,0.368421052631579,12.880834160873885,0.010453141286617085,1.5380464112250405,0.9516385618835508
frozenset({'72 SWEETHEART FAIRY CAKE CASES'}),frozenset({'60 TEATIME FAIRY CAKE CASES'}),0.028602266594711278,0.03076092822450081,0.011332973556395036,0.39622641509433965,12.880834160873883,0.010453141286617085,1.6053022126281706,0.9495238095238097
frozenset({'60 TEATIME FAIRY CAKE CASES'}),frozenset({'PACK OF 60 DINOSAUR CAKE CASES'}),0.03076092822450081,0.02914193200215866,0.01025364274150027,0.3333333333333333,11.43827160493827,0.009357209862858583,1.4562871019967618,0.9415367483296214
frozenset({'PACK OF 60 DINOSAUR CAKE CASES'}),frozenset({'60 TEATIME FAIRY CAKE CASES'}),0.02914193200215866,0.03076092822450081,0.01025364274150027,0.35185185185185186,11.438271604938272,0.009357209862858583,1.495397425025056,0.9399666481378542
frozenset({'PACK OF 60 PINK PAISLEY CAKE CASES'}),frozenset({'60 TEATIME FAIRY CAKE CASES'}),0.03669724770642202,0.03076092822450081,0.017269293038316244,0.47058823529411764,15.298245614035087,0.01614045163558227,1.8307849133537206,0.9702380952380955
frozenset({'60 TEATIME FAIRY CAKE CASES'}),frozenset({'PACK OF 60 PINK PAISLEY CAKE CASES'}),0.03076092822450081,0.03669724770642202,0.017269293038316244,0.5614035087719298,15.298245614035086,0.01614045163558227,2.1963302752293576,0.9642956570155903
frozenset({'60 TEATIME FAIRY CAKE CASES'}),frozenset({'PACK OF 60 SPACEBOY CAKE CASES'}),0.03076092822450081,0.023205612520237454,0.01025364274150027,0.3333333333333333,14.364341085271317,0.009539816560359668,1.4651915812196437,0.9599109131403119
frozenset({'PACK OF 60 SPACEBOY CAKE CASES'}),frozenset({'60 TEATIME FAIRY CAKE CASES'}),0.023205612520237454,0.03076092822450081,0.01025364274150027,0.441860465116279,14.364341085271317,0.009539816560359668,1.7365533369311024,0.9524861878453039
frozenset({'60 TEATIME FAIRY CAKE CASES'}),frozenset({'PACK OF 72 RETROSPOT CAKE CASES'}),0.03076092822450081,0.05504587155963303,0.015110631408526714,0.49122807017543857,8.923976608187134,0.013417369304425752,1.8573236317621005,0.9161231307667834
frozenset({'PACK OF 72 RETROSPOT CAKE CASES'}),frozenset({'60 TEATIME FAIRY CAKE CASES'}),0.05504587155963303,0.03076092822450081,0.015110631408526714,0.2745098039215686,8.923976608187134,0.013417369304425752,1.3359781800148771,0.9396671289875175
frozenset({'60 TEATIME FAIRY CAKE CASES'}),frozenset({'PACK OF 72 SKULL CAKE CASES'}),0.03076092822450081,0.028062601187263895,0.010793308148947653,0.3508771929824561,12.503373819163293,0.009930076488033436,1.4973089657385394,0.9492204899777282
frozenset({'PACK OF 72 SKULL CAKE CASES'}),frozenset({'60 TEATIME FAIRY CAKE CASES'}),0.028062601187263895,0.03076092822450081,0.010793308148947653,0.38461538461538464,12.503373819163293,0.009930076488033436,1.5750134916351861,0.9465852304275402
