antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.10635657241528168,0.06950140297863155,0.012195121951219513,0.11466260781329274,1.6497883913011966,0.004803190952359012,1.0510101631685485,0.44073692698433736
frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'}),0.06950140297863155,0.10635657241528168,0.012195121951219513,0.17546583850931677,1.6497883913011964,0.004803190952359012,1.083816134396532,0.4232802277770593
frozenset({'JUMBO BAG RED RETROSPOT'}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.08633714655730629,0.06950140297863155,0.02293330455428448,0.265625,3.821865295031056,0.016932751739379963,1.2670619193482464,0.8081182862939648
frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'JUMBO BAG RED RETROSPOT'}),0.06950140297863155,0.08633714655730629,0.02293330455428448,0.3299689440993789,3.8218652950310554,0.016932751739379963,1.3636126943617493,0.7934968002510677
frozenset({'JAM MAKING SET PRINTED'}),frozenset({'JAM MAKING SET WITH JARS'}),0.04683790200733866,0.04737750917332182,0.01661990071228146,0.3548387096774194,7.489602468954369,0.014400837580269624,1.4765648607813513,0.9090600296442687
frozenset({'JAM MAKING SET WITH JARS'}),frozenset({'JAM MAKING SET PRINTED'}),0.04737750917332182,0.04683790200733866,0.01661990071228146,0.3507972665148064,7.489602468954369,0.014400837580269624,1.4682040737500996,0.9095749611213529
frozenset({'JAM MAKING SET PRINTED'}),frozenset({'SET OF 3 CAKE TINS PANTRY DESIGN '}),0.04683790200733866,0.06183898122167062,0.010900064752859918,0.23271889400921658,3.763304139423038,0.008003656610165654,1.222708354804189,0.7703580140622758
frozenset({'SET OF 3 CAKE TINS PANTRY DESIGN '}),frozenset({'JAM MAKING SET PRINTED'}),0.06183898122167062,0.04683790200733866,0.010900064752859918,0.1762652705061082,3.763304139423038,0.008003656610165654,1.1571226316732943,0.7826759438856574
frozenset({'PACK OF 72 RETROSPOT CAKE CASES'}),frozenset({'PACK OF 72 SKULL CAKE CASES'}),0.0555255773796676,0.026926397582559897,0.013382257716382474,0.24101068999028183,8.950721657114034,0.01188715394385635,1.2820649640045403,0.9404989098642998
frozenset({'PACK OF 72 SKULL CAKE CASES'}),frozenset({'PACK OF 72 RETROSPOT CAKE CASES'}),0.026926397582559897,0.0555255773796676,0.013382257716382474,0.4969939879759519,8.950721657114034,0.01188715394385635,1.8776603063248842,0.9128571185800941
